ulasan,rating_bintang,sentimen
"Mantap segala jenis casing HP cahrger HP tripot dll lumayan lengkap dan murah banget di sini",5,positif
"barang lengkap pelayanan ramah banyak diskon.",5,positif
"Barang nya lengkap pelayanan baik mantab",5,positif
"Pelayan cepat paham akan type hp ramah&murah senyum",4,positif
"Pelayanan cepat sangat ramah barang lengkap",5,positif
"Jujur cukup kecewa sih.. niat mau garansikan kabel C to C karena ngga bisa charge ternyata ngga bisa di garansikan dan di tolak katanya kabel datanya kalau patah atau putus ngga bisa digaransi la ini masih bagus beli bulan 11/2022 ngga patah dan ngga putus saat hp saya mati bisa di charge keluar logo petir tapi ngga nambah walau kalau pas idup ngga masuk dan katanya saat dibuat charge ngga masuk diluar garansi yang masuk garansi hanya tidak nambah persentase baterai hp nya atau malah berkurang Meskipun harganya ngga mahal ngga sampe 200k ya cukup kecewa kirain garansi 6 bulannya mudah hanya yang patah atau putus fisiknya yang tidak dapat digaransi Tolong team Frenz diperjelas lagi apa aja yang bisa digaransi dan ngga bisa masa kabel fisik masih bagus pemakaian ngga lama ngga patah tapi ngga bisa claim garansi.",1,negatif
"Tokonya lengkap juga baik sekali pelayananya",5,positif
"Konter warna pink Beli vocer kuota 5gb 25k dikasih yg 2,5gb Konter penipu gk jujur Wajahnya cantik tidak dengan akhlaknya",1,negatif
"Barangnya lengkap",5,positif
"Barangnyaaa lengkap bagusss",5,positif
"Lengkap pelayanan ramah sukses dan jaya selalu frenz sawojajar",5,positif
"barang yang dijual lengkap dan pelayanan ramah dari penjual",5,positif
"Cepat dan memuaskan pelayanan lumayan lengkap itemnya",5,positif
"Pelayanan ramah banget Banyak model juga dan tentunya banyak diskon ges hehe",5,positif
"Barang yang dijual lengkap Mulai dari softcase TWS dan aksesoris hp lainnya",5,positif
"Pelayanan keren abis ramah juga Barangnya juga lengkap Terimakasih",5,positif
"Pelayanan yang ramah tamah dan stock barang yang super lengkap",5,positif
"Disini pelayanannya sangat baik sekali",5,positif
"Baru peertama kali ke sini semuanya lengkap dan kakanya ramah",5,positif
"Pelayanannya cepat beli screen guard disini harga terjangkau",5,positif
"Mbak yang pakai hijab ditanyai malah diem aja gak jawab sama sekali cuma liatin aja Padahal saling tatap muka",1,negatif
"Barang lengkap pelayanan bagus harga murah",5,positif
"Pelayanan bagus barang lengkap",5,positif
"Tempatnya bersih penjualnya ramah sangat rekomen untuk beli aksesoris hp disini",5,positif
"Tempatnya lengkap dan pelayanannya bagus",4,positif
"Pelayanan bagus harga terjangkau",5,positif
"Top harga ramah dikantong pelayanan juga ramah terima kasih",5,positif
"Toko aksesoris murah dengan pelayanan yang mengesankan",5,positif
"Acc hp lengkap dan murah pelayanannya juga ramah",5,positif
"pelayanan bagus barang lengkap termurah",5,positif
"pelayanan dan barangnya mantap pokoknya",5,positif
"pelayanan istimewa dan banyak diskonnya",5,positif
"ramah baik pokoknya oke",5,positif
"pelayanan oke semua oke",5,positif
"lengkap pelayanan bagus cepet juga",5,positif
"Pelayanannya ramah garansi charger selama 6 bulan dan bisa diklam harga terjangkau lengkap",5,positif
"Langganan sejak zaman dahulu kala ramah bersih murah pilihannya banyak best sukses dan berkah selalu",5,positif
"Mantap segla jenis casing hp charger hp tripot dll lumayan lengkap dan murah banget disini",5,positif
"Pelayanannya ramah cepat dan sangat rekomended",5,positif
"Barang lengkap pelayanan ramah banyak diskon",5,positif
"Barangnya lengkap pelayanannya baik mantap",5,positif
"Pasang temperedglass sangattt rapi bersih mantap pelayanannya",5,positif
"Pelayanan cepat paham akan tipe hp ramah dan murah senyum",5,positif
"Pelayanan cepat sangat ramah barang lengkap",5,positif
"Lengkap pelayanannya ramah baik",5,positif
"Tokonya lengkap juga baik sekali pelayananya",5,positif
"Sangat memuaskan dan barang yang sesuai",5,positif
"Jujur cukup kecewa sih.. niat mau garansikan kabel C to C karena ngga bisa charge ternyata ngga bisa di garansikan dan di tolak. katanya kabel datanya kalau patah atau putus ngga bisa digaransi la ini masih bagus beli bulan 11/2022 ngga patah dan ngga putus saat hp saya mati bisa di charge keluar logo petir tapi ngga nambah walau kalau pas idup ngga masuk ,dan katanya saat dibuat charge ngga masuk diluar garansi, yang masuk garansi hanya tidak nambah persentase baterai hp nya atau malah berkurang Meskipun harganya ngga mahal ngga sampe 200k ya cukup kecewa kirain garansi 6 bulannya mudah hanya yang patah atau putus fisiknya yang tidak dapat digaransi Tolong team Frenz diperjelas lagi apa aja yang bisa digaransi dan ngga bisa masa kabel fisik masih bagus pemakaian ngga lama ngga patah tapi ngga bisa claim garansi Agak aneh sih",1,negatif
"Lengkap pelayanannya ramah",5,positif
"Konter warna pink Beli vocer kuota 5gb 25k dikasih yg 2.5gb Konter penipu gk jujur Wajahnya cantik tidak dengan akhlaknya",1,negatif
"Barang nya lengkap",5,positif
"Barangnyaaa lengkap bagusss",5,positif
"Pelayanannyaa sangaatt ramaahh terbaikkk",5,positif
"pelayanan nya baik barang lengkap",5,positif
"Sangattt lengkap",5,positif
"Accessories HP Terlengkap",5,positif
"Accessories HP terlengkaaapp",5,positif
"Sangat lengkaap",5,positif
"Mantap",5,positif
"Mantap... lengkap dan pelayanan ramah",5,positif
"Keluarga kami langganan beli charger temper glass casing earphone dll Mas mbaknya ramah ramah Selalu dikasih diskon Barang tersedia dr yg kualitas low budget sampe kualitas bagus Oh iya ada garansi juga",5,positif
"Salah satu tempat favorit apabila ingin membeli aksesoris smartphone. Letaknya cukup strategis di ruko semanggi karena di pinggir jalan raya Suhat. Barang-barangnya cukup lengkap disini untuk kualitas sesuai dengan harga. Untuk tempat parkirnya cukup untuk beberapa sepeda motor saja",5,positif
"Harga terjangkau barang lengkap karyawannya ramah dan sangat cepat sekali responnya",5,positif
"Barang lengkap harga murah banyak diskon",5,positif
"pelayanannya sangat kurang dateng duluan saya lalu ada orang berpenampilan bagus tapi yg dilayani hanya org itu kita tanya tapi hanya di beri tau tempatnya padahal juga mau nanya nanya seperti di cabang frenz lain kita juga bakal beli kok terlalu menyepelekan penampilan!",2,negatif
"toko ACC hp terlengkap dan termurah pelayanan jg baik & ramah kualitas barang terjamin bagus",5,positif
"Salah satu toko ACC hp langganan sejak lama harga murah kualitas bagus dan selalu banyak promo tiap bulannya",5,positif
"Toko acc hp paling lengkap di malang Pelayannya ramah banget tempatnya bersih dan oke sekali",5,positif
"Tempat favorit untuk membeli aksesories handphone tempatnya bersih & nyaman pelayanan ramah harga terjangkau pokoknya the best",5,positif
"Suka sekali belanja di frenz suhat mbaknya ramah2 trus lengkapn bgt semua acc hp ada disini",5,positif
"Tokonya pinggir jalan raya pelayanannya ramah barangnya lengkap Rekomendasi banget kalo beli ACC hp disini",5,positif
"Toko aksesoris hp terlengkap dimalang barangnya oke karyawannya ramah tamah mantap",5,positif
"Rekomendasi banget kak mas2 yg pakek kacamata sabar banget soal pelayanan jgn diragukan lagi harga juga masuk buat mahasiswa hehe",5,positif
"toko aksesoris terlengkap case nya jg bagus2 pelayanannya jg oke tokonya bersih bikin cust betah",5,positif
"Pelayanan sangat bagus Barang nya lengkap sekali suka sekali belanja disini",5,positif
"Tokonya pinggir jalan raya pelayanannya ramah barangnya lengkap Rekomendasi banget kalo beli ACC hp disini",5,positif
"Rekomendasi banget kak mas2 yg pakek kacamata sabar banget soal pelayanan jgn diragukan lagi harga juga masuk buat mahasiswa hehe",5,positif
"Barang sangat lengkap Toko bersih Karyawan nya ramah ramah",5,positif
"toko aksesoris terlengkap case nya jg bagus2 pelayanannya jg oke👍🏻tokonya bersih bikin cust betah",5,positif
"tokonya bersih&rapi mbak2 & mas2nya ramah2 dlm pelayanan barangnya lengkap&murah",5,positif
"Pelayanan sangat bagus Barang nya lengkap sekali suka sekali belanja disini",5,positif
"toko ACC hp terlengkap dan termurah pelayanan jg baik & ramah kualitas barang terjamin bagus",5,positif
"Toko bersih rapi & nyaman pegawainya ramah barang lumayan lengkap & harga terjangkau",5,positif
"Beli casing hp dari rumah dan langsung dikirim Free ongkir pula sukkaaaa banget",5,positif
"Penyelamat disaat charger rusak Jam 8 pagi udah buka Terbaik",5,positif
"Pelayanan baik cepat saya benerin temperglas rapi pengerjaannya dan murah",5,positif
"tempatnya bersih barangnya lengkap pelayanan bagus",5,positif
"Pelayanan oke Staffnya ramah Gak nyesel deh beli tempered glass disini Bagus Harganya juga muraah",5,positif
"Cukup lengkap untuk aksesories semua gadget Petugas yg tersedia jg banyak",5,positif
"Mbak e baik akrab nyaman tempat e barang e lengkap ws pokok e worth it lah",5,positif
"Pelayanan baik barang komplit gerai sdh buka di pagi hari jam 8",5,positif
"lengkap dan sangat murah barang bagus bagus",5,positif
"Barusan beli tempred glass harga 35rb dan dapat kesan yg kurang bagus Saya hanya customer yg beli barang tak lebih dari 50rb saya dilayani oleh masnya yg bantu pasang dan cek kebetulan saya adalah orang yg sedikit perfeksionis dan saya merasa berhak untuk komplain bila ada kotoran atau yg lainnya beberapa kali masnya dengan super sabar bantu buang kotoran yg masih tertempel belum selesei dengan membersihkan layarnya ada mbaknya yg kebetulan juga jaga tiba tiba bilang "kenapa rewel tha" Ini sedikit terdengar tidak nyaman ditelinga saya Karna saya sadar kalau saya komplain terlalu lama hal ini yg saya ingin tau apakah memang di frenz harga menentukan pelayanan yg di berikan apakah kata 'rewel' ini merujuk ke hpnya atau saya sebagai customer mudah2an bisa di baca oleh pihak frenz dan bisa memberikan jawaban atas apa yg saya tanyakan Terimakasih",1,negatif
"Jumat 21 Desember saya membeli earphone dengan kabel data Saat mbak kasir menyiapka kembalian atas pembayaran saya saya tidak cek krn pesan ojek online untuk pulang Sesampainya saya di rumah saya melihat kembalian saya utuh namun yg seharusnya saya mendapatkan earphone dan kabel data ternyata yg ada di plastik hanya earphone saja Mengecewakan sekali",1,negatif
"kasir bawah kurang membantu asik dengan dunianya sendiri",2,negatif
"Toko acc hp paling lengkap di malang Pelayannya ramah banget tempatnya bersih dan oke sekali",5,positif
"Dulu pernah beli barang di salah satu frenz yang ada di malang trus dapet kupon yg bisa ditukar ketika pembelian selanjutnya dengan salah satu barang di frenz secara gratis Eh td nyoba mau nuker kupon ke salah satu cabang frenz eh malah gaboleh disuruh ke tempat frenz yang dulu ngasih kupon Padahal jelas2 dikupon tertulis "dapat ditukar diseluruh cabang frenz",1,negatif
"Harga terjangkau kualitas bagus",5,positif
"Lengkap terpercaya dan terjangkau",5,positif
"Sebetulnya saya senang ada yg jual accesoris suhat ini saya pengen beli softcase sudah di tunjukkan tapi tidak sesuai arahan saya akhir pembayaran saya tidak di suruh coba sampai rumah eh ternyata salah dan tidak bisa dikembalikan tapi makasi gambarnya bagus sudah saya cutter sampai muat dengan HP saya",3,netral
"Lumayan lengkap tapi kualitas barang agak kurang bagus mungkin kebanyakan produk China jadi sedikit mengecewakan Harap mengecek barang terlebih dahulu dan dicoba kalau bisa karna mungkin tidak semua barang lulus QC",4,positif
"Memang untuk aksesoris HP lengkap dari seri tipe dan merk HP Hanya produknya untuk HP lawas kurang memadai baik variasi dan macam macam aksesorisnya bahkan sempat kehabisan produk Tapi overall lengkap semua",4,positif
"Mas nya baik d bantu nyarikan apa yg qta butuh Bener2 pelayanan ok",5,positif
"Toko accesoris handphone yang bisa dikatakan termurah dan terlengkap di malang raya Mulai dari yang berbentuk kecil hingga yang besar Ada banyak toko atau outlet yang tersebar di kota malang kabupaten malang dan kota batu Sehingga memudahkan anda untuk membeli kebutuhan gadget anda Anda juga bisa mendaftar sebagai member untuk mendapatkan beberapa keuntungan Salah satunya adalah untuk mendapatkan discount di setiap pembelian anda",5,positif
"Haduuhh mbak kita mo beli bukan minta casing di toko yg BUKAN PUNYA KAMU 😅 jd punya muka biasa aja gausah jutek sm customer baru jd pegawai aja udah songong buat mbak2 yg gak tinggi2 amat yg kerja di frenz suhat semoga baca yaa 🤣 kemaren mo tegur langsung sbenernya tp kok yaa belum sampe hati",2,negatif
"Ini saya beli hf bluetooth 50rb tapi kualitas suaranya jelek sekali apa bisa di tukar tambah?",2,negatif
"Banyak aksesoris smartphone dengan berbagai tipe dijual disini Sangat lengkap mulai dari case charge sampe jenset Wuuu cobain pasti pusing milih yang mana",5,positif
